word,count
吃,6639
去,5711
还,5462
都,5380
想,5256
没,5211
旺柴,4835
苦涩,4225
看,3882
会,3827
很,2371
人,2362
为啥,2209
一个,2105
宝宝,1942
宝,1910
睡觉,1886
欸,1867
喜欢,1841
今晚,1814
干嘛,1813
明天,1754
睡,1662
下班,1548
快,1542
Emm,1538
找,1502
才,1452
害羞,1449
点,1436
不想,1418
朋友,1415
一点,1407
买,1390
不好,1380
感觉,1371
回去,1316
好像,1282
完,1249
下,1217
东西,1175
哈哈哈,1158
饿,1094
困,1064
流泪,1042
上,1034
问,1030
做,1018
吃饭,1011
真的,1005
洗澡,1004
忙,975
肯定,971
白眼,970
bb,966
再,938
回,911
猜,902
不用,881
先,867
抖音,850
睡着,841
翻白,821
翻白眼,821
带,811
大,801
昨晚,798
上班,791
加班,771
公司,766
不行,756
分钟,751
晚上,749
回来,749
吃瓜,733
刚刚,717
听,707
有没有,706
衣服,702
不到,685
打开,684
走,683
还好,682
不多,673
色,672
好看,669
外卖,665
玩,651
估计,647
记得,647
咩,646
早上,636
时间,634
差不多,629
作品,626
复制,623
聊天,616
开心,611
宿舍,608
一会,606
喝,605
地铁,604
不理,596
没事,595
啥时候,593
本来,592
手机,590
真,588
bt,585
可怜,579
冷,577
死,569
委屈,568
好多,568
不了,566
哈哈哈哈,565
～,555
哭,553
点点,552
好吃,549
发,548
爱,547
太,542
不吃,540
好不好,539
挺,531
傲慢,529
开,525
一点点,525
陪,523
行,522
洗,516
别人,512
几点,507
难过,504
咯,502
穿,500
发现,499
早,498
跑,494
还要,493
请,493
中午,491
事,479
帮,478
照片,473
那种,472
两个,464
休息,463
我要,461
https,459
我会,456
很多,455
约,450
v,445
换,440
饭,438
打脸,438
发怒,435
下次,435
通话,435
-,433
怕,431
douyin,430
昨天,430
小,429
小时,427
钱,426
晚安,424
只,420
诶,419
痛,417
#,416
出门,416
热,415
丢,408
刚,405
住,400
烦,399
皱眉,398
男,395
接,390
第一,388
懂,388
无聊,386
道理,385
放,385
更,380
哥哥,378
你好,378
拥抱,377
...,375
车,372
起床,364
猫,364
肚子,361
骂,358
忘记,357
怂,357
待会,355
厕所,354
有人,353
…,352
居然,352
睡觉觉,350
广州,346
笑,345
早班,344
坐,344
打车,339
回家,337
反正,336
下午,334
讲,331
说话,328
电话,326
话,325
出发,322
拉,321
信息,321
躺,321
楼下,320
号,317
多久,317
久,314
舒服,311
记录,307
最,303
算了,303
亲亲,303
工作,302
下雨,300
累,299
生气,299
有个,293
几个,291
~,291
拍,291
钟,289
老,289
事情,287
好久,283
我刚,283
emo,282
难受,277
好好,276
🤔,275
叹气,273
电影,273
澡,272
傻,271
难,271
咋啦,271
月,269
外面,269
咋办,267
粉,266
辛苦,265
醒,263
不错,263
洗完,260
🤷,260
聊天记录,259
上次,258
想要,256
女生,256
刷,255
女朋友,255
讨厌,254
发呆,253
包,252
好困,252
拒绝,252
超级,252
心情,251
女,247
忘,245
是因为,244
头发,244
抱,243
加,243
吖,241
弄,240
晚班,239
俩,238
几天,237
习惯,235
干,235
写,233
可不,232
️,230
算,228
送,228
掉,228
鸡,227
位置,227
抱抱,226
想到,225
关系,224
星期,223
情况,223
信,222
聊,221
10,218
看着,218
进去,217
两天,217
只能,217
头,217
见,216
里,215
回答,214
母鸡,214
唔,213
故意,211
懒,210
出,209
害怕,209
刚好,209
尴尬,209
嗨,207
搞,207
同事,207
漂亮,207
分,206
前,204
天天,203
怪怪,202
特别,200
办法,198
样子,197
天,197
随便,197
高,197
点儿,196
佛山,196
抓,196
上车,196
晚,195
味道,195
脸红,195
块钱,194
螺蛳,193
玩笑,193
地方,193
答应,192
站,192
解决,191
快递,189
试试,188
后,188
不算,188
希望,188
确实,188
变,187
不着,187
理,187
知,187
喔,186
奇怪,185
(,185
半个,184
),184
后天,184
麻烦,183
搬,182
早点,182
我姐,181
好意,181
有点儿,180
好意思,180
我怕,179
想想,178
哪有,177
天气,177
赶紧,177
新,177
偷偷,177
假,177
夜宵,176
骗,176
睡不着,176
开玩笑,176
三个,175
话题,174
心疼,174
感受,174
打算,173
不好意思,173
晚饭,173
回到,173
提前,172
没人,171
洗头,171
时,170
大概,169
空调,169
12,167
老是,167
少,165
20,165
广东,165
迟到,165
怀疑,164
错,164
旁边,164
可不可以,163
菜,163
家,162
动,162
微信,161
收拾,161
那要,160
朋友圈,160
贼,160
同学,159
有空,159
见面,159
还行,159
第二,159
远,159
客户,159
不出,158
可爱,158
岂,158
快乐,157
平时,156
男人,156
听到,156
男朋友,156
周末,156
晕,156
宝贝,155
变态,155
班,155
就行了,155
过分,154
结婚,154
想法,154
口,154
减肥,153
快下,153
快下班,153
塞车,152
不信,152
手,151
夸,150
不来,149
恋爱,149
差点,149
椰子,149
气,149
一件,148
黑,148
那天,148
好奇,147
年,147
烤肉,146
工资,146
十点,145
啥意思,145
床上,145
马上,145
就要,144
11,144
咧,144
接受,144
狗,143
美女,143
生活,143
开会,142
逼,142
吹,142
家里,142
收,142
花,141
孩子,141
我点,140
分享,139
半夜,139
右,139
哼哼,139
夸张,138
不住,137
烧烤,137
喊,137
怪,137
九点,136
倒,136
这是,136
睡醒,136
下下,136
医生,136
电脑,135
面试,135
怪怪的,135
才能,134
慢慢,134
想起,133
走路,133
臭,133
30,132
酒店,132
早起,131
选,131
没用,131
咖啡,131
主动,131
勒,131
嘟嘟,131
对不起,130
火锅,130
一下下,130
面,129
恐怖,129
周五,129
太多,129
失望,129
收到,128
长,128
学,128
摸,128
、,128
裂开,127
一半,127
啊啊啊,127
瓜,127
便宜,127
哄,127
广东省,126
无语,126
很快,125
太阳,125
早餐,125
我妹,125
厉害,125
字,125
原来如此,125
贵,124
敢,124
敷衍,124
秒,124
‍,124
凶,124
妈,123
感情,123
结束,123
十几,123
沙发,122
很久,122
顺便,122
舍得,122
领导,121
明明,121
中,121
嫌弃,121
嗷,120
没想,120
差,120
一张,119
抢,119
够,119
乱,119
小红书,119
不饿,118
脸,118
舍不得,118
眼睛,118
实话,117
没到,117
司机,117
胖,116
无,116
牛肉,116
荔湾,116
谢谢,115
发给,115
显得,115
歌,115
梦,115
改,114
吃药,114
适合,113
叫外卖,113
挑,113
不回,113
医院,113
身体,113
都行,113
懒得,112
过年,112
头痛,112
不让,112
我妈,112
开车,112
搞笑,111
煮,111
理解,111
半,111
羡慕,110
啥事,110
耳机,110
吃个,110
嘴巴,110
追,110
翻,109
几分,109
回复,109
找到,109
房间,109
不下,108
麻辣,108
说好,108
没空,108
被子,108
就行,107
没关,107
下楼,107
粑,107
腿,106
祖庙,106
世界,106
项目,106
吃饱,106
洗个,106
愉快,105
帅哥,105
路,105
早就,105
顺风,105
水,105
炒,104
晚点,104
午饭,104
不去,104
🐸,103
有钱,103
坏,103
一句,103
快点,103
不见,103
我待会,103
好玩,102
瘦,102
感动,102
机会,102
电视,102
十分钟,101
砖,101
鸭,101
周六,101
小孩,101
块,101
装,101
一个月,101
不困,101
选择,101
看起,100
来说,100
终于,100
请假,100
打电话,100
太久,100
看起来,99
我来,99
路上,99
看过,99
肉,99
嘎嘎,99
没关系,98
八点,98
第一次,98
申请,98
化妆,98
聪明,97
闹钟,97
影响,97
辣,97
留,97
感冒,97
或许,97
打包,97
上头,97
起码,96
挂,96
清醒,96
看不到,96
我家,96
建议,96
川高,96
精神,95
全是,95
这件,95
懒懒,95
休假,95
15,95
p,95
车上,95
木有,95
安,95
明晚,95
丑,94
几分钟,94
快到,94
段时间,94
药,94
下车,94
太晚,94
我爱你,94
名字,93
噗,93
每次,93
那会,93
🥺,93
那家,93
找个,92
奶茶,91
评论,91
内耗,91
就算,91
吵架,91
喉咙,91
总,90
懒姐,90
撤回,90
尽量,90
泡面,90
麻将,90
组长,89
早睡,89
一家,89
在家,89
声音,89
心,89
说实话,88
阿西,88
买个,87
雷岗,87
莫名,87
跳,87
斤,87
亲,87
干哈,87
急,87
吃完饭,87
一顿,86
饱,86
补,86
没带,86
屁股,86
自然,86
情绪,86
要说,85
计划,85
原因,85
多人,85
删,85
奖励,84
期待,84
简单,84
：,84
努力,84
不止,84
女孩,83
伤心,83
同意,83
谈,83
200,83
m,83
矫情,83
走心,82
干活,82
不至于,82
条,82
不知,82
老婆,82
两次,82
见到,82
吐,82
哒,82
困了,82
老板,81
永远,81
有时候,81
游戏,81
搭,81
捞,81
对方,81
到时候,80
戴,80
门口,80
恶心,80
谈恋爱,80
印象,80
不太好,80
40,80
程度,80
一大,80
ᯤ,80
做梦,80
五分,80
棒,80
脑子,80
裤子,80
店,80
语,80
擦,80
八卦,79
莫名其妙,79
零食,79
➕,79
咬,79
核酸,79
充电,79
后续,79
换衣,79
换衣服,79
近,79
铁站,78
地铁站,78
吃晚饭,78
演唱,78
好大,78
意外,78
做饭,78
剩,78
般般,78
一般般,78
退,78
百度,78
加油,77
不定,77
贴,77
50,77
七点,77
演唱会,77
黑色,77
越来越,77
越来,77
乱说,77
轰炸,77
100,77
距离,77
鼻子,77
推,76
很大,76
图,76
咋样,76
肠粉,76
此言,76
14,76
一年,75
变得,75
床,75
熟,75
好烦,75
海底,75
疼,75
公里,75
♀,75
关,75
小时候,74
《,74
一眼,74
吓人,74
粿,74
进来,74
进,74
一块,74
转移,74
给我发,74
转,74
表现,74
合适,74
儿子,74
五分钟,74
何出,74
（,73
排队,73
十二,73
对象,73
点多,73
没理,73
得意,73
姨妈,73
房子,73
好听,73
胃口,73
惹,73
要死,73
蹲,73
介绍,72
哪种,72
生,72
通知,72
感,72
无敌,72
休,72
梦见,72
七八,72
痒,72
卖,71
你别,71
区别,71
技术,71
小心,71
屁,71
18,71
譬如,71
身上,71
单纯,71
提醒,71
控制,71
外边,71
炸弹,71
喝茶,71
）,70
社死,70
想着,70
雨,70
一只,70
晒,70
一觉,70
西,70
麻辣烫,69
这么久,69
喝酒,69
胃,69
达,69
垃圾,69
一种,69
喝水,69
一小,69
der,69
负责,69
这次,69
打麻将,69
红包,69
究纪心,68
二点,68
苦,68
卡,68
吵,68
到底,68
好哇,68
大哥,68
一套,68
放假,68
湿,68
培训,68
天河,68
不爽,68
思考,68
故事,67
准时,67
下周,67
骗人,67
鸡蛋,67
烦人,67
b,67
甜,67
鬼,67
淘宝,67
紧张,67
蹲坑,67
金,66
头像,66
十二点,66
办公,66
生日,66
带你去,66
理由,66
安排,66
刷牙,66
憋,66
16,66
十一,66
毛,66
州市,66
暧昧,66
妈妈,65
大事,65
暴力,65
真棒,65
我能,65
好点,65
难道,65
汤,65
饼,65
离谱,65
女孩子,65
干净,65
一段,65
圆圆,65
yby,65
奇奇怪怪,64
奇奇,64
吹水,64
都还没,64
五点,64
改天,64
提,64
报销,64
骂人,64
毕竟,64
米,64
吼,64
泡,64
卷,64
下头,64
半小时,64
指定,63
多个,63
没想到,63
安慰,63
打卡,63
状态,63
塞,63
只会,63
不大,63
拉屎,63
🤨,63
人生,62
男生,62
不太,62
形象,62
社恐,62
打死,62
两点,62
拍照,62
颜色,62
钥匙,62
难说,61
可惜,61
换个,61
门,61
对面,61
我先,61
踩,61
没什么,61
身份,61
店里,61
网上,61
告诉,60
娱乐,60
一个多,60
老家,60
大半,60
拆,60
17,60
方式,60
乖,60
24,60
开门,60
你家,60
口罩,59
空气,59
不带,59
高中,59
降温,59
小小,59
这句,59
岁,59
多一点,59
广州市,59
不准,59
电梯,59
检查,59
耐心,59
白,59
正经,58
帮忙,58
懵,58
爸爸,58
牙,58
暂时,58
楼,58
猥琐,58
瞬间,58
发生,58
十一点,58
打字,58
难吃,58
效果,58
放弃,58
我爸,58
不冷,58
这话,58
闭嘴,58
好滴,58
问问,57
@,57
养,57
一条,57
没点,57
第一个,57
运动,57
次,57
形容,57
出去玩,57
就让,57
年轻,57
后悔,57
鞋子,57
慢,57
内裤,57
多好,56
看个,56
熬夜,56
